위도,경도,지점명,주소
35.6113555556,128.3588,창녕,창녕군 이방면 장천리 (율지교)
35.7386666667,127.9256722222,거창동천1,거창군 거창읍 서변리 (학리교)
35.6963972222,127.9242638889,거창동천2,거창군 거창읍 대동리 (정월교)
35.7000444444,127.8544527778,거창위천1,거창군 마리면 말흘리 (진산교)
35.6855,127.9167888889,거창위천2,거창군 거창읍 대평리 (중앙교)
35.6327,127.9849444444,황강1-1,거창군 남하면 대야리 (거창골동품경매장앞)
35.5280861111,128.3599444444,합천,합천군 청덕면 앙진리 (적포교)
35.6292194444,127.8135638889,남강천,함양군 안의면 금천리 (안의교)
35.515025,127.7294944444,함양위천1,함양군 함양읍 용평리 (인당교)
35.5148083333,127.7817888889,함양위천2,함양군 유림면 백천리 (대웅교)
35.4646166667,127.7928611111,임천,함양군 유림면 화촌리 (임천교)
35.2961916667,127.9817277778,양천,산청군 신안면 하정리 (토현교)
35.2767472222,127.8361361111,덕천강1,산청군 시천면 원리 (원리교)
35.2635361111,127.8958444444,덕천강2,산청군 단성면 자양리 (자양교)
35.1789833333,128.09955,남강1,진주시 칠암동 (진양교)
35.1631,128.1564833333,영천강,진주시 문산읍 옥산리 (옥산교)
35.2125138889,128.1278583333,남강2,진주시 초전동 (금산교)
35.3131972222,128.2957666667,남강3,의령군 의령읍 정암리 (정암교)
35.3159027778,128.2839972222,의령천,의령군 의령읍 정암리 (백야교)
35.3619083333,128.4153583333,남강4,의령군 지정면 마산리 (송도교)
35.3803333333,128.4738305556,남지,함안군 칠서면 계내리 (남지교)
35.3945583333,128.6002416667,임해진,창녕군 부곡면 청암리 (임해진나루앞)
35.3719916667,128.7041416667,하남,밀양시 하남읍 수산리 (수산교)
35.3814361111,128.8217583333,삼랑진,밀양시 삼랑진읍 삼랑리 (삼랑진교)
35.4904888889,128.7539055556,밀양강1,밀양시 내일동 (밀양교)
35.4710055556,128.7637944444,밀양강2,밀양시 상남면 예림리 (예림교)
35.3880444444,129.0504916667,양산천1,양산시 상북면 소토리 (효성교)
35.3441694444,129.0289333333,양산천2,양산시 교동 (영대교)
35.2870944444,129.0116666667,양산천3,양산시 동면 가산리 (호포교)
35.2056833333,128.9913416667,구포,부산시 북구 구포동 (구포대교)
35.5495833333,129.3403111111,학성,울산시 남구 삼산동 (학성교)
35.4107833333,129.3109083333,회야강3,울산시 울주군 온산읍 삼평리(상회2교)
35.1662166667,129.1266472222,수영강5,부산시 수영구 민락동 (수영교)
34.9035305556,128.6458888889,연초천-1,거제시 연초면 연사리 (연초교)
35.1024416667,128.42745,진전천,창원시 마산합포구 진전면 오서리 (진전교)
35.0591916667,127.9675444444,곤양천,사천시 곤양면 송전리 (금용교)
35.4723083333,129.2784944444,회야호1,울산시 울주군 청량면 중리
35.4702111111,129.2664777778,회야호2,울산시 울주군 청량면 중리
35.3154444444,128.9738472222,물금,양산시 물금읍 물금리 (물금취수탑)
35.2821,127.9618527778,경호강2,산청군 단성면 묵곡리 (묵곡교)
35.57265,128.3421361111,황강5,합천군 청덕면 적포리 (청덕교)
